tcp_win_0,tcp_win_1,tcp_win_2,tcp_win_3,tcp_win_4,tcp_win_5,tcp_win_6,tcp_win_7,tcp_win_8,tcp_win_9,type
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,496,488,11,501,501,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,496,488,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,496,488,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,496,488,11,501,501,0
502,11,11,11,11,501,488,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,489,11,486,501,11,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,501,501,11,11,11,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,501,488,11,485,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,11,11,496,11,501,501,0
502,11,11,11,11,11,493,501,11,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,11,493,501,11,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,496,488,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,11,493,485,11,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,11,493,485,11,482,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,489,11,486,501,11,0
502,11,11,501,11,11,496,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,11,493,485,11,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,501,488,11,501,501,0
502,11,11,501,11,11,488,11,485,501,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,496,488,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,489,11,486,501,11,0
502,168,168,501,501,168,501,501,501,166,0
502,168,168,501,501,501,501,501,501,168,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,489,11,486,501,11,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,489,11,486,501,11,0
502,11,11,11,11,496,488,11,485,501,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,11,493,485,11,501,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,11,493,485,11,501,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,496,488,11,501,501,0
502,11,11,11,11,11,493,495,11,501,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,11,493,495,11,501,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,11,493,485,11,501,0
502,11,11,11,11,496,501,11,501,501,0
502,11,11,11,11,489,11,486,501,11,0
502,11,11,11,11,496,488,11,501,501,0
502,11,11,11,11,11,493,485,11,501,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,501,501,11,11,11,501,501,0
502,167,167,167,167,167,496,483,167,501,0
502,11,11,501,11,11,488,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,489,11,486,501,11,0
502,11,11,11,11,11,493,485,11,501,0
502,11,11,11,11,496,488,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,496,488,11,501,501,0
502,11,11,11,11,11,493,485,11,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,493,11,485,11,501,0
502,11,11,11,11,501,488,11,501,501,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,496,488,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,11,493,485,11,501,0
502,11,11,11,11,501,488,11,501,501,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,496,488,11,501,501,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,11,493,485,11,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,496,488,11,501,501,0
502,11,11,11,11,496,488,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,11,493,485,11,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,11,493,485,11,482,0
502,11,11,11,11,11,493,485,11,482,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,489,11,486,501,11,0
502,11,11,11,11,496,488,11,501,501,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,496,488,11,501,501,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,493,11,501,11,501,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,489,11,486,501,11,0
502,11,11,11,11,496,488,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,11,493,485,11,501,0
502,11,11,11,11,11,493,485,11,501,0
502,11,11,11,11,501,488,11,501,501,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,11,493,501,11,498,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,489,11,501,501,11,0
502,168,168,501,501,168,501,168,501,501,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,11,493,485,11,501,0
502,11,11,11,11,501,488,11,501,501,0
502,11,11,11,11,11,493,485,11,501,0
502,11,11,501,11,11,496,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,496,488,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,11,493,485,11,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,11,11,493,485,482,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,489,11,501,501,11,0
502,167,167,167,167,167,496,483,167,501,0
502,167,167,167,167,167,489,486,167,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,496,488,11,501,501,0
502,11,11,11,11,496,501,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,489,11,486,501,11,0
502,11,11,11,501,11,488,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,496,488,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,11,493,485,11,482,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,489,11,486,501,11,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,11,493,485,11,501,0
502,11,11,11,11,11,493,485,11,501,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,496,488,11,501,501,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,501,496,11,501,501,0
502,11,11,11,11,501,488,11,485,501,0
502,11,11,11,11,11,493,485,11,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,501,11,495,487,11,501,0
502,11,11,11,11,489,11,486,501,11,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,11,496,483,11,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,11,493,485,11,482,0
502,11,11,11,11,489,11,486,501,11,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,501,488,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,11,493,495,11,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,501,501,11,11,11,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,501,488,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,11,493,485,11,501,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,496,488,11,501,501,0
502,11,11,11,11,501,488,11,485,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,11,493,485,11,482,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,496,488,11,485,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,11,493,485,11,501,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,11,493,485,11,501,0
502,11,11,11,11,489,11,501,501,11,0
502,168,168,501,501,501,501,501,501,501,0
502,168,168,501,501,501,501,501,168,166,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,489,11,486,501,11,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,11,11,493,485,482,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,11,493,485,11,501,0
502,11,11,11,11,496,488,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,496,488,11,501,501,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,501,488,11,501,501,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,11,493,485,11,501,0
502,11,11,501,501,11,11,11,501,11,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,11,493,485,11,501,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,496,501,11,501,501,0
502,11,11,11,11,11,493,485,11,501,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,501,496,11,501,501,0
502,11,11,11,11,496,488,11,501,501,0
502,11,11,11,11,11,493,501,11,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,496,488,11,485,501,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,11,493,485,11,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,496,488,11,501,501,0
502,11,11,11,11,496,488,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,501,496,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,11,493,485,11,501,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,496,488,11,485,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,496,501,11,501,501,0
502,167,167,167,167,167,496,483,167,501,0
502,11,11,11,11,496,488,11,501,501,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,11,493,485,11,501,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,496,488,11,485,501,0
502,11,11,11,11,496,488,11,501,501,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,11,493,485,11,501,0
502,11,11,11,11,11,493,485,11,482,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,496,501,11,501,501,0
502,11,11,501,11,11,496,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,489,11,501,501,11,0
502,168,168,501,501,168,501,501,501,166,0
502,11,11,11,11,489,11,486,501,11,0
502,11,11,11,11,501,496,11,501,501,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,501,488,11,501,501,0
502,168,168,501,501,501,168,166,166,501,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,489,11,486,501,11,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,11,11,496,488,11,501,501,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,11,493,485,11,501,0
502,11,11,11,11,489,11,486,501,11,0
502,11,11,11,11,11,493,495,11,501,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,489,11,486,501,11,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,167,167,167,167,167,496,483,167,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,496,488,11,501,501,0
502,11,11,11,11,489,11,486,501,11,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,489,11,486,501,11,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,489,11,501,501,11,0
502,168,168,501,501,168,501,501,501,166,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,501,501,11,11,11,0
502,11,11,11,11,496,495,11,501,501,0
502,11,11,501,501,11,11,11,501,11,0
502,11,11,11,11,11,493,485,11,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,501,488,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,501,488,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,489,11,486,501,11,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,501,488,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,489,11,486,501,11,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,11,11,501,488,11,485,501,0
502,11,11,11,11,489,11,501,501,11,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
502,11,11,501,501,11,11,11,501,501,0
