tcp_win_0,tcp_win_1,tcp_win_2,tcp_win_3,tcp_win_4,tcp_win_5,tcp_win_6,tcp_win_7,tcp_win_8,tcp_win_9,type
502,11,11,501,501,501,12,12,501,501,2
502,11,11,11,11,11,484,501,501,11,2
502,11,11,11,11,11,489,488,501,501,2
502,11,11,11,11,11,484,501,501,11,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,501,11,492,484,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,489,501,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,496,488,11,501,501,2
502,11,11,11,11,11,484,501,501,12,2
502,11,11,11,11,11,493,485,11,501,2
502,11,11,11,11,11,489,488,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,489,495,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,11,493,485,495,2
502,11,11,11,11,11,496,11,501,501,2
502,11,11,11,11,11,489,488,501,501,2
502,11,11,11,11,11,11,493,482,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,489,488,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,484,501,501,12,2
502,11,11,11,11,496,488,11,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,496,485,501,501,2
502,11,11,11,11,501,488,11,501,501,2
502,11,11,11,11,11,484,501,501,11,2
502,11,11,11,11,11,11,493,485,501,2
502,11,11,11,11,11,496,485,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,484,501,501,11,2
502,11,11,11,11,11,493,485,11,501,2
502,11,11,11,11,11,496,485,501,501,2
502,11,11,11,11,11,489,501,501,501,2
502,11,11,11,11,11,11,493,482,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,484,501,501,11,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,484,501,501,11,2
502,11,11,11,11,11,489,501,501,501,2
502,11,11,11,11,11,489,488,501,501,2
502,11,11,11,11,11,493,485,11,501,2
502,11,11,11,11,11,484,501,501,11,2
502,11,11,11,11,11,496,488,487,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,11,493,482,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,484,501,501,11,2
502,11,11,11,11,496,488,11,501,501,2
502,11,11,11,11,11,496,488,487,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,493,485,11,482,2
502,11,11,11,11,11,484,501,501,11,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,501,483,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,11,493,485,484,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,489,488,501,501,2
502,11,11,11,11,11,489,486,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,489,488,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,484,501,501,11,2
502,11,11,11,11,11,493,485,11,501,2
502,11,11,11,11,11,484,501,501,11,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,496,488,11,501,501,2
502,11,11,11,11,11,11,493,485,484,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,11,493,482,501,2
502,11,11,11,11,11,484,501,501,11,2
502,11,11,11,11,11,489,501,501,501,2
502,11,11,11,11,11,493,11,485,501,2
502,11,11,501,501,501,12,12,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,484,501,501,11,2
502,11,11,11,11,11,489,486,501,501,2
502,11,11,11,11,11,489,488,501,501,2
502,11,11,11,11,496,488,11,501,501,2
502,11,11,11,11,11,484,501,501,11,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,11,493,482,501,2
502,11,11,11,11,496,488,11,501,501,2
502,11,11,11,11,11,484,501,501,11,2
502,11,11,11,11,11,489,501,501,501,2
502,11,11,501,501,501,12,12,501,501,2
502,11,11,11,11,11,489,488,501,501,2
502,11,11,11,11,496,488,11,501,501,2
502,11,11,11,11,11,484,501,501,11,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,484,501,501,11,2
502,11,11,11,11,496,488,11,485,501,2
502,11,11,11,11,11,484,501,501,12,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,501,501,501,12,12,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,489,488,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,484,501,501,11,2
502,11,11,11,11,11,489,501,501,501,2
502,11,11,11,11,11,489,488,501,501,2
502,11,11,11,11,11,493,11,485,482,2
502,11,11,11,11,11,484,501,501,11,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,496,485,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,501,501,501,12,12,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,501,501,501,12,12,501,501,2
502,11,11,501,501,501,501,11,11,11,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,501,501,501,12,12,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,484,501,501,12,2
502,11,11,11,11,496,488,11,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,496,485,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,489,489,501,501,2
502,11,11,11,11,11,493,485,11,501,2
502,11,11,11,11,11,493,485,11,501,2
502,11,11,11,11,11,484,501,501,11,2
502,11,11,11,11,11,11,493,485,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,489,488,501,501,2
502,11,11,11,11,11,493,485,11,501,2
502,11,11,11,11,11,489,488,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,484,501,501,11,2
502,11,11,11,11,11,493,485,11,501,2
502,11,11,501,501,501,12,12,501,501,2
502,11,11,11,11,11,493,495,11,501,2
502,11,11,11,11,11,489,489,501,501,2
502,11,11,501,501,501,501,11,11,11,2
502,11,11,11,11,11,484,501,501,11,2
502,11,11,501,11,11,11,496,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,501,501,501,12,12,501,501,2
502,11,11,11,11,11,493,495,11,501,2
502,11,11,11,11,11,496,488,495,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,501,501,501,12,12,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,11,493,482,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,501,501,501,12,12,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,11,493,482,501,2
502,11,11,501,501,501,501,11,11,11,2
502,11,11,11,11,11,489,489,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,484,501,501,11,2
502,11,11,11,11,11,484,501,501,11,2
502,11,11,501,501,501,12,12,501,501,2
502,11,11,501,501,501,12,12,501,501,2
502,11,11,501,501,501,12,12,501,501,2
502,11,11,11,11,11,484,501,501,11,2
502,11,11,11,11,11,484,501,501,11,2
502,11,11,11,11,11,11,493,482,501,2
502,11,11,501,501,501,12,12,501,501,2
502,11,11,11,11,11,489,488,501,501,2
502,11,11,501,501,501,12,12,501,501,2
502,11,11,11,11,11,484,501,501,11,2
502,11,11,501,501,501,12,12,501,501,2
502,11,11,11,11,11,484,501,501,11,2
502,11,11,11,11,11,484,501,501,11,2
502,11,11,501,501,501,12,12,501,501,2
502,11,11,11,11,11,493,485,11,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,489,11,486,501,501,2
502,11,11,11,11,496,488,11,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,484,501,501,12,2
502,11,11,11,11,11,493,485,11,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,489,501,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,484,501,501,12,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,11,493,482,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,484,501,501,11,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,496,488,487,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,11,493,482,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,489,488,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,484,501,501,11,2
502,11,11,11,11,11,493,485,11,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,489,488,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,489,488,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,493,485,11,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,484,501,501,11,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,484,501,501,12,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,11,493,482,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,484,501,501,11,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,484,501,501,11,2
502,11,11,11,11,489,11,486,501,501,2
502,11,11,11,11,11,11,493,482,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,496,485,501,501,2
502,11,11,11,11,11,493,485,11,501,2
502,11,11,11,11,11,484,501,501,12,2
502,11,11,11,11,11,493,485,11,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,496,485,501,501,2
502,11,11,11,11,11,493,495,11,501,2
502,11,11,11,11,11,11,486,486,501,2
502,11,11,11,11,11,489,501,501,501,2
502,11,11,11,11,11,489,488,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,11,496,486,486,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,11,493,482,501,2
502,11,11,11,11,11,484,501,501,11,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,496,488,11,485,501,2
502,11,11,11,11,11,11,493,482,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,11,493,482,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,489,489,501,501,2
502,11,11,11,11,11,489,501,501,501,2
502,11,11,11,11,11,11,493,482,501,2
502,11,11,11,11,11,484,501,501,11,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,484,501,501,11,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,489,488,501,501,2
502,11,11,11,11,11,493,485,11,501,2
502,11,11,11,11,11,11,493,482,501,2
502,11,11,11,11,11,493,501,11,501,2
502,11,11,11,11,496,501,11,501,501,2
502,11,11,11,11,11,489,488,501,501,2
502,11,11,11,11,11,484,501,501,11,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,484,501,501,11,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,484,501,501,11,2
502,11,11,11,11,11,489,501,501,501,2
502,11,11,11,11,11,489,489,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,484,501,501,11,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,501,501,501,501,11,11,11,2
502,11,11,501,501,501,12,12,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,501,501,501,12,12,501,501,2
502,11,11,11,11,11,493,485,11,501,2
502,11,11,11,11,11,489,488,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,484,501,501,12,2
502,11,11,11,11,11,493,485,11,501,2
502,11,11,11,11,11,11,493,485,484,2
502,11,11,11,11,11,11,493,485,482,2
502,11,11,11,11,11,11,493,485,484,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,484,501,501,11,2
502,11,11,11,11,11,484,501,501,12,2
502,11,11,11,11,501,488,11,501,501,2
502,11,11,501,501,501,12,12,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,484,501,501,12,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,484,501,501,11,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,489,488,501,501,2
502,11,11,501,501,501,501,11,11,501,2
502,11,11,11,11,11,11,493,482,501,2
502,11,11,501,11,11,496,11,501,501,2
502,11,11,11,11,11,489,488,501,501,2
502,11,11,11,11,501,11,488,485,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,501,501,501,12,12,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,489,488,501,501,2
502,11,11,501,501,501,501,11,11,501,2
502,11,11,11,11,11,11,493,482,501,2
502,11,11,11,11,11,493,485,11,501,2
502,11,11,11,11,11,496,488,487,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,501,501,501,12,12,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,489,488,501,501,2
502,11,11,11,11,11,489,501,501,501,2
502,11,11,501,501,501,12,12,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,501,501,501,12,12,501,501,2
502,11,11,11,11,11,493,485,11,501,2
502,11,11,11,11,11,496,485,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,11,493,482,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,484,501,501,11,2
502,11,11,11,11,11,493,485,11,501,2
502,11,11,11,11,11,11,493,482,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,484,501,501,12,2
502,11,11,11,11,11,493,485,11,501,2
502,11,11,501,501,501,12,12,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,484,501,501,11,2
502,168,168,501,501,501,501,501,168,163,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,493,485,11,501,2
502,11,11,11,11,11,493,485,11,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,484,501,501,11,2
502,11,11,501,501,501,12,12,501,501,2
502,11,11,11,11,11,484,501,501,11,2
502,11,11,11,11,11,484,501,501,11,2
502,11,11,11,11,11,489,488,501,501,2
502,11,11,501,501,501,12,12,501,501,2
502,11,11,501,501,501,12,12,501,501,2
502,11,11,11,11,11,496,488,487,501,2
502,11,11,11,11,11,484,501,501,12,2
502,11,11,11,11,11,484,501,501,11,2
502,11,11,11,11,11,484,501,501,11,2
502,11,11,501,501,501,12,12,501,501,2
502,11,11,501,501,501,12,12,501,501,2
502,11,11,11,11,11,484,501,501,11,2
502,11,11,11,11,11,11,493,482,501,2
502,11,11,11,11,11,484,501,501,12,2
502,11,11,501,501,501,12,12,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,493,495,11,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,496,488,11,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,496,485,501,501,2
502,11,11,11,11,496,488,11,501,501,2
502,11,11,11,11,11,484,501,501,11,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,484,501,501,11,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,496,485,501,501,2
502,11,11,11,11,11,489,501,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,496,485,501,501,2
502,11,11,11,11,11,11,493,485,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,496,485,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,11,493,493,490,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,484,501,501,11,2
502,11,11,11,11,11,493,485,11,501,2
502,11,11,11,11,11,484,501,501,11,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,489,488,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,11,493,485,484,2
502,11,11,11,11,11,489,489,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,496,485,501,501,2
502,11,11,11,11,11,489,501,501,501,2
502,11,11,11,11,11,484,501,501,12,2
502,11,11,11,11,11,11,493,482,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,484,501,501,12,2
502,11,11,11,11,11,489,486,501,501,2
502,11,11,11,11,11,11,493,485,484,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,496,485,501,501,2
502,11,11,11,11,496,488,11,501,501,2
502,11,11,11,11,11,11,493,482,501,2
502,11,11,11,11,501,488,11,501,501,2
502,11,11,11,11,11,484,501,501,11,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,489,488,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,496,501,11,501,501,2
502,11,11,11,11,11,484,501,501,11,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,484,501,501,11,2
502,11,11,11,11,11,493,485,11,501,2
502,11,11,11,11,11,484,501,501,11,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,484,501,501,11,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,489,489,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,484,501,501,11,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,484,501,501,11,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,484,501,501,11,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,484,501,501,11,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,484,501,501,11,2
502,11,11,11,11,11,493,485,11,501,2
502,11,11,11,11,11,484,501,501,11,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,493,485,11,501,2
502,11,11,11,11,11,11,493,485,484,2
502,11,11,501,501,501,12,12,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,484,501,501,11,2
502,11,11,11,11,11,493,485,11,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,484,501,501,12,2
502,11,11,11,11,11,484,501,501,11,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,484,501,501,11,2
502,11,11,11,11,496,488,11,501,501,2
502,11,11,11,11,11,11,493,482,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,484,501,501,11,2
502,11,11,11,11,11,493,485,11,501,2
502,11,11,11,11,11,489,489,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,489,488,501,501,2
502,11,11,11,11,11,493,485,11,501,2
502,11,11,11,11,11,484,501,501,11,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,501,501,501,12,12,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,501,501,501,12,12,501,501,2
502,11,11,11,11,11,489,501,501,501,2
502,11,11,11,11,11,484,501,501,11,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,501,501,501,12,12,501,501,2
502,11,11,11,11,501,496,11,501,501,2
502,11,11,11,11,11,493,485,11,501,2
502,11,11,501,501,501,12,12,501,501,2
502,11,11,11,11,11,484,501,501,12,2
502,11,11,11,11,496,488,11,501,501,2
502,11,11,501,501,501,12,12,501,501,2
502,11,11,501,501,501,12,12,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,489,495,501,501,2
502,11,11,501,501,501,501,11,11,11,2
502,11,11,11,11,11,493,11,485,501,2
502,11,11,11,11,11,11,493,482,501,2
502,11,11,11,11,496,488,11,501,501,2
502,11,11,11,11,11,484,501,501,11,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,484,501,501,11,2
502,11,11,11,11,11,484,501,501,11,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,484,501,501,11,2
502,11,11,11,11,11,489,501,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,501,501,501,501,11,11,11,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,489,488,501,501,2
502,11,11,11,11,496,488,11,501,501,2
502,11,11,501,501,501,12,12,501,501,2
502,11,11,11,11,11,489,501,501,501,2
502,11,11,11,11,11,484,501,501,12,2
502,11,11,11,11,11,496,485,501,501,2
502,11,11,11,11,11,489,501,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,489,488,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,501,501,501,12,12,501,501,2
502,11,11,11,11,11,11,493,501,498,2
502,11,11,11,11,11,11,493,482,501,2
502,11,11,11,11,501,488,11,485,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,484,501,501,11,2
502,11,11,11,11,496,11,488,501,501,2
502,11,11,501,501,501,12,12,501,501,2
502,11,11,501,501,501,501,11,11,11,2
502,11,11,11,11,11,11,493,482,501,2
502,168,168,501,501,501,501,501,168,161,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,493,485,11,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,11,493,485,501,2
502,11,11,11,11,502,495,487,11,501,2
502,11,11,11,11,11,493,485,11,501,2
502,11,11,11,11,496,488,11,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,496,485,501,501,2
502,11,11,11,11,11,484,501,501,11,2
502,11,11,11,11,11,11,493,482,501,2
502,11,11,11,11,11,484,501,501,11,2
502,11,11,501,501,501,12,12,501,501,2
502,11,11,11,11,11,11,493,493,482,2
502,11,11,11,11,11,484,501,501,12,2
502,11,11,11,11,11,11,493,482,501,2
502,11,11,11,11,11,11,493,482,501,2
502,11,11,501,501,501,12,12,501,501,2
502,11,11,11,11,11,11,493,482,501,2
502,11,11,11,11,11,11,493,482,501,2
502,11,11,11,11,11,489,495,501,501,2
502,11,11,11,11,11,496,485,501,501,2
502,11,11,11,11,11,489,488,501,501,2
502,11,11,501,501,501,12,12,501,501,2
502,11,11,11,11,11,11,493,485,484,2
502,11,11,501,501,501,12,12,501,501,2
502,11,11,11,11,11,484,501,501,11,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,489,501,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,496,488,11,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,501,11,488,485,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,489,488,501,501,2
502,11,11,11,11,11,489,501,501,501,2
502,11,11,11,11,11,501,483,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,484,501,501,11,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,489,488,501,501,2
502,11,11,11,11,11,493,485,11,501,2
502,11,11,11,11,11,501,496,495,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,484,501,501,11,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,489,489,501,501,2
502,11,11,11,11,501,501,487,11,501,2
502,11,11,11,11,11,496,488,487,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,484,501,501,11,2
502,11,11,11,11,11,489,501,501,501,2
502,11,11,11,11,11,484,501,501,11,2
502,11,11,11,11,11,484,501,501,11,2
502,11,11,11,11,496,488,11,501,501,2
502,11,11,11,11,11,484,501,501,12,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,496,488,487,501,2
502,11,11,11,11,11,484,501,501,12,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,484,501,501,11,2
502,11,11,11,11,489,11,486,501,501,2
502,11,11,11,11,11,493,11,485,482,2
502,11,11,11,11,11,11,493,482,501,2
502,11,11,11,11,11,493,485,11,501,2
502,11,11,11,11,11,484,501,501,11,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,484,501,501,11,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,501,491,501,501,2
502,11,11,11,11,496,488,11,501,501,2
502,11,11,11,11,11,11,493,482,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,484,501,501,12,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,484,501,501,12,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,484,501,501,12,2
502,11,11,11,11,11,11,493,485,501,2
502,11,11,11,11,11,11,493,482,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,484,501,501,11,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,489,488,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,496,485,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,501,501,501,12,12,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,484,501,501,12,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,501,501,501,12,12,501,501,2
502,11,11,501,501,501,12,12,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,484,501,501,12,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,493,485,11,501,2
502,11,11,501,501,501,12,12,501,501,2
502,11,11,11,11,496,488,11,501,501,2
502,11,11,11,11,11,496,488,487,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,484,501,501,11,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,484,501,501,11,2
502,11,11,11,501,11,496,11,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,489,11,501,501,501,2
502,11,11,11,11,11,484,501,501,11,2
502,11,11,11,11,11,493,485,11,501,2
502,11,11,11,11,11,11,493,482,501,2
502,11,11,11,11,11,489,501,501,501,2
